     time (s)       traj1:dt1e-7     traj2:dt1e-7     traj3:dt1e-8    traj4:dt1e-8
   5.5800000e-04   2.9265253e+02   2.7306287e+02   2.8680189e+02   3.0292949e+02
   5.6000000e-04   2.9068842e+02   2.7306287e+02   2.8680189e+02   3.0100000e+02
   5.6200000e-04   2.8970636e+02   2.7306287e+02   2.8680189e+02   3.0003526e+02
   5.6400000e-04   2.8970636e+02   2.7216168e+02   2.8585535e+02   3.0003526e+02
   5.6600000e-04   2.8970636e+02   2.7126048e+02   2.8585535e+02   2.9907051e+02
   5.6800000e-04   2.9068842e+02   2.7035928e+02   2.8490881e+02   2.9810577e+02
   5.7000000e-04   2.8872431e+02   2.6945808e+02   2.8396226e+02   2.9810577e+02
   5.7200000e-04   2.8872431e+02   2.6945808e+02   2.8396226e+02   2.9810577e+02
   5.7400000e-04   2.8872431e+02   2.6945808e+02   2.8490881e+02   2.9714103e+02
   5.7600000e-04   2.8774225e+02   2.6855689e+02   2.8585535e+02   2.9521154e+02
   5.7800000e-04   2.8577814e+02   2.6765569e+02   2.8396226e+02   2.9521154e+02
   5.8000000e-04   2.8381403e+02   2.6765569e+02   2.8206918e+02   2.9521154e+02
   5.8200000e-04   2.8283197e+02   2.6765569e+02   2.8206918e+02   2.9521154e+02
   5.8400000e-04   2.8283197e+02   2.6855689e+02   2.8112264e+02   2.9231731e+02
   5.8600000e-04   2.8283197e+02   2.6765569e+02   2.8017610e+02   2.9135256e+02
   5.8800000e-04   2.8184992e+02   2.6765569e+02   2.8017610e+02   2.9135256e+02
   5.9000000e-04   2.8086786e+02   2.6765569e+02   2.7922956e+02   2.9135256e+02
   5.9200000e-04   2.8086786e+02   2.6765569e+02   2.7828302e+02   2.9135256e+02
