time (s)        Na         STDEV
   2.4200000e-07   8.0316456e+01   4.4160091e+00
   2.4250000e-07   8.0265823e+01   4.4454208e+00
   2.4300000e-07   8.0227848e+01   4.4633820e+00
   2.4350000e-07   8.0189873e+01   4.4838055e+00
   2.4400000e-07   8.0177215e+01   4.4599629e+00
   2.4450000e-07   8.0164557e+01   4.4647634e+00
   2.4500000e-07   8.0164557e+01   4.4647634e+00
   2.4550000e-07   8.0151899e+01   4.4752556e+00
   2.4600000e-07   8.0126582e+01   4.4789167e+00
   2.4650000e-07   8.0113924e+01   4.4892674e+00
   2.4700000e-07   8.0063291e+01   4.5498430e+00
   2.4750000e-07   8.0050633e+01   4.5514121e+00
   2.4800000e-07   8.0025316e+01   4.5403453e+00
